orth	proposed_ipa	note
က	k	LETTER KA — commonest Burmese consonant; its absence is the single biggest cause of the 16.6% conversion rate
ခ	kʰ	LETTER KHA
ဉ	ɲ	LETTER NYA (matches the existing ည → ɲ)
ဣ	ʔi	independent vowel I
ဤ	ʔiː	independent vowel II
ဥ	ʔu	independent vowel U
ဦ	ʔuː	independent vowel UU
ဧ	ʔe	independent vowel E
ဩ	ʔɔ	independent vowel O
ဪ	ʔɔ	independent vowel AU
ံ	n	ANUSVARA — nasal coda, Burmese /ɴ/; 'n' chosen for PanPhon compatibility
ဵ	e	VOWEL SIGN E ABOVE
ဿ	θ	GREAT SA (doubled သ) — see Q1
ရှ	r̥	ha-hto on ra: DEVOICING, not aspiration. modern Burmese realises ရှ as /ʃ/ — see Q13
လှ	l̥	ha-hto on la: DEVOICING, not aspiration. PanPhon rejects aspirated sonorants and accepts devoiced ones.
မှ	m̥	ha-hto on ma: DEVOICING, not aspiration. PanPhon rejects aspirated sonorants and accepts devoiced ones.
နှ	n̥	ha-hto on na: DEVOICING, not aspiration. PanPhon rejects aspirated sonorants and accepts devoiced ones.
ငှ	ŋ̥	ha-hto on nga: DEVOICING, not aspiration. PanPhon rejects aspirated sonorants and accepts devoiced ones.
ညှ	ɲ̥	ha-hto on nnya: DEVOICING, not aspiration. PanPhon rejects aspirated sonorants and accepts devoiced ones.
ဝှ	w̥	ha-hto on wa: DEVOICING, not aspiration. PanPhon rejects aspirated sonorants and accepts devoiced ones.
ယှ	j̥	ha-hto on ya: DEVOICING, not aspiration. modern Burmese realises ယှ as /ʃ/ — see Q13
ွှ	w̥	ha-hto on medial wa: DEVOICING, not aspiration. PanPhon rejects aspirated sonorants and accepts devoiced ones.
ျှ	j̥	ha-hto on medial ya: DEVOICING, not aspiration. modern /ʃ/ — see Q13
