orth	proposed_ipa	note
ⲁ	a	HIGH — whole file. Coptic is the Greek alphabet plus seven Demotic letters, and the 24 Greek-derived letters carry their Greek values. All 33 rules here are that core; every character is attested in the 942 cop-tagged toponyms in the corpus.
ⲏ	eː	MEDIUM — REGISTER. Sahidic reading. ⲏ (hate) is long /eː/ in the conventional reconstruction; some traditions read it /iː/ under later Greek influence.
ⲃ	b	MEDIUM — REGISTER, AND THE MAIN DIALECT QUESTION. Sahidic /b/. BOHAIRIC reads ⲃ (vida) as /v/, and Bohairic is the liturgical standard, so a reviewer working from church usage may expect /v/. Flagged rather than chosen: 138 rows.
ⲫ	pʰ	MEDIUM — REGISTER. Sahidic aspirate /pʰ/; Bohairic reads it /f/. Same dialect axis as ⲃ, and it should be answered the same way. 42 rows.
ⲭ	kʰ	MEDIUM — REGISTER. Sahidic /kʰ/; Bohairic /x/. Same axis as ⲃ and ⲫ.
ⲱ	oː	MEDIUM — as ⲏ. Long /oː/ against short ⲟ /o/; the length contrast is conventional rather than certain for toponyms.
Ⲁ	a	HIGH — the nine attested capitals (Ⲁ Ⲓ Ⲕ Ⲗ Ⲡ Ⲥ Ⲧ Ⲫ Ⲭ) take the same values as their lowercase forms. Included explicitly because Epitran matches the literal string and does not case-fold.
ϩ	h	HIGH — AND THIS ROW EXISTS BECAUSE THE FIRST DRAFT WAS WRONG. The seven Demotic-derived letters ϣ ϥ ϧ ϩ ϫ ϭ ϯ were MISSING: Unicode disunified the Greek-derived Coptic letters into U+2C80+ and left these at U+03E2–U+03EF, so a rule set built by walking the Coptic block omits exactly them while looking exhaustive. Measured consequence: 347 of 971 cop-tagged toponyms (35.7%) contain one and could not transcribe at all. ϩ HORI alone is 169 rows. Values follow the standard Coptic readings.
ϣ	ʃ	HIGH. SHEI, from Demotic; 93 rows. No competing letter.
ϥ	f	HIGH. FEI; 13 rows.
ϫ	dʒ	MEDIUM — DIALECT. GANGIA; 50 rows. /dʒ/ in the common reading; some Bohairic descriptions give /g/. Same dialect axis as Q15 and should be answered with it.
ϭ	tʃ	MEDIUM — DIALECT. SHIMA; 54 rows. Bohairic /tʃ/ drafted; Sahidic descriptions often give a palatal /kʲ/. Same axis as Q15.
ϧ	x	MEDIUM — DIALECT-SPECIFIC LETTER. KHEI is Bohairic; only 1 row here. /x/.
ϯ	ti	MEDIUM — NOT A SINGLE CONSONANT. DEI writes the SYLLABLE /ti/, not one segment, so this row emits two phones by design; 24 rows. If the pipeline should see it as one unit that is a different notation and a reviewer's call.
Ⲁ	(REMOVED)	MEASURED, NOT ASSUMED — ALL CAPITAL RULES ARE INERT AND HAVE BEEN REMOVED. Epitran case-folds before matching: Ⲍ (capital zata, with NO rule of its own) transliterates to 'z' from the lowercase ⲍ rule alone. So the 9 capitals in the first draft and the 7 added with the Demotic letters did nothing, and 15 further capitals would have done nothing either. Removed rather than completed — 16 inert rows are 16 more values a reviewer has to read. ⚠ Do not re-add them without re-running that probe; if a future Epitran stops folding, every capital becomes a silent gap at once.
ⲱ̅	(NOT MAPPED)	THE REMAINING 2% — THE SUPRALINEAR STROKE. After this fix 347/347 Demotic-bearing rows emit no Coptic letter, and 340/347 (98.0%) are fully PanPhon-parseable. The 7 that are not carry U+0305 COMBINING OVERLINE, the supralinear stroke that marks a syllabic consonant (e.g. ϩⲱⲕⲉⲛ̅ⲡⲓⲛ). It is a real phonological mark, not decoration, and mapping it needs a decision about how to represent syllabicity — left unmapped deliberately.
